InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
NVLPQIPTCCLBEU-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Allyl sulfur compounds,NA,NA,NA,NA
WOPDMJYIAAXDMN-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfonyls,Sulfones,NA,NA,NA
JWWFEYMQBBFIRT-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfoxides,NA,NA,NA,NA
MYYIAHXIVFADCU-QMMMGPOBSA-N,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA,NA,NA
KZNIFHPLKGYRTM-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
JBFOLLJCGUCDQP-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
SPTHHTGLGVZZRH-UHFFFAOYSA-N,Organic compounds,Organometallic compounds,Organometalloid compounds,Organoarsenic compounds,Tetraorganoarsonium salts,NA,NA
TYQCGQRIZGCHNB-MVHIGOERSA-N,Organic compounds,Organoheterocyclic compounds,Dihydrofurans,Furanones,NA,NA,NA
GIJHDGJRTUSBJR-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,Linear furanocoumarins,Psoralens,5-hydroxypsoralens
VLWJVRACXDFSKC-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WUADCCWRTIWANL-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,4'-O-methylated isoflavonoids,4'-O-methylisoflavones,NA
KXYGEGYBMOCKNJ-SXFAUFNYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
QAIPRVGONGVQAS-RQOWECAXSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
BSOMSDFTZKNUHY-ZYZFHZPYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
VWQNTRNACRFUCQ-DUXPYHPUSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
LTGOIJNQWZWJRF-ZYZFHZPYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
SNVAIAITQIIEMQ-DUXPYHPUSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
RYYVLZVUVIJVGH-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
CQOVPNPJLQNMDC-ZETCQYMHSA-N,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA,NA,NA
PFTAWBLQPZVEMU-DZGCQCFKSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
VBSMBNMUYITMLB-SWLSCSKDSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
FXAMKGHSKXKNHR-DAURTTLQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
YKRWCINYMPRAIG-SWLSCSKDSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
KGLMKAPOVXBIJB-AKIQRXPNSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
YCIMNLLNPGFGHC-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,NA,NA
ICPYZFZFSLTYID-GOVZDWNOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
MZPWKJZDOCIALD-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
LUKBXSAWLPMMSZ-UPHRSURJSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
QWSAYEBSTMCFKY-BMPGWQKJSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
DULQFFCIVGYOFH-UPHRSURJSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
CDEBVTGYVFHDMA-BMPGWQKJSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
KOTTWDFKZULRPN-UPHRSURJSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
KRKNYBCHXYNGOX-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,NA,NA,NA
DDRJAANPRJIHGJ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
BNSAVBGHRVFVNN-XSCLDSQRSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,NA,NA
NEJVQQBBTRFOHB-FCXRPNKRSA-N,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,NA,NA
YTMNONATNXDQJF-UBNZBFALSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
HCAJEUSONLESMK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Sulfamic acid derivatives,Cyclamates,NA,NA,NA
SZJNCZMRZAUNQT-IUCAKERBSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
XLUAWXQORJEMBD-YUMQZZPRSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
ZQSIJRDFPHDXIC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
ATUYSKUVHUPXBV-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
CQRHJEVIKOKQMO-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
MMIBOZXVZLENRZ-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
GFHHFNZYJNKWPT-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
NSJKNMPSMHSBQD-MWBUVXCNSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
XENHPQQLDPAYIJ-PEVLUNPASA-O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
DZAUWHJDUNRCTF-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
AELQNMHOLDHBFA-DKBOKBLXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
MIMULQQHBAZGER-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
BOLQJTPHPSDZHR-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
KYERCTIKYSSKPA-JHZZJYKESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
UMCDODPBPQMWQP-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
ZVIJTQFTLXXGJA-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
OSJGZCUHTGTJHT-JHZZJYKESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
QZIYZVFIROFZCV-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
HITJFUSPLYBJPE-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
NXXGJRZWYCYPCB-HBWRTXEVSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
KAVKAZLSONPCRU-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
MATKIWLWARSJPU-HBWRTXEVSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
VPKVLRCNQRSXLW-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
MBMBGCFOFBJSGT-KUBAVDMBSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,NA,NA
DSCFFEYYQKSRSV-FEPQRWDDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols,Cyclohexanols,NA
JAZBEHYOTPTENJ-JLNKQSITSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
DWONJCNDULPHLV-HOTGVXAUSA-N,Organic compounds,"Lignans, neolignans and related compounds",Dibenzylbutane lignans,Dibenzylbutanediol lignans,NA,NA,NA
HVDGDHBAMCBBLR-UHFFFAOYSA-N,Organic compounds,"Lignans, neolignans and related compounds",Furanoid lignans,Tetrahydrofuran lignans,"9,9'-epoxylignans",Dibenzylbutyrolactone lignans,NA
PFTAWBLQPZVEMU-UKRRQHHQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
LSHVYAFMTMFKBA-FPOVZHCZSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Catechin gallates
BUONZQIZWIITTB-CVPXIJHMSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
FLSYXGAHKYHTCZ-HUUCEWRRSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
VBSMBNMUYITMLB-IUODEOHRSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
FXAMKGHSKXKNHR-CVPXIJHMSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
YKRWCINYMPRAIG-IUODEOHRSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
MWSSRHFQMROXGK-IUODEOHRSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
FDWDKTKDGDLDTP-BBGDWMAASA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
RTMISWLJQDWIPT-UKRRQHHQSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
XMOCLSLCDHWDHP-IUODEOHRSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Epigallocatechins
WMBWREPUVVBILR-WIYYLYMNSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Catechin gallates
ZTOAOZDTXSRHIB-BBGDWMAASA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
PFNBTZIECYHRTC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,NA,NA
ADFCQWZHKCXPAJ-GFCCVEGCSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavans,Isoflavanols,NA,NA
XDPLKWRSVXUQBN-LVEHSUOCSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
SSISHJJTAXXQAX-ZETCQYMHSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
VFPFQHQNJCMNBZ-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,Galloyl esters
IWJBVMJWSPZNJH-UQGZVRACSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,Glucuronides
KIWBPDUYBMNFTB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid esters,Sulfuric acid monoesters,NA,NA
KSEBMYQBYZTDHS-HWKANZROSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
TWSIWBHKRJLZCF-MBAOVNHDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
PZPATWACAAOHTJ-HWKANZROSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
CLGNQAIRBLDHIN-HWKANZROSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
HKQYGTCOTHHOMP-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,4'-O-methylated isoflavonoids,4'-O-methylisoflavones,NA
KDULJPKZESDTFK-SXFAUFNYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
RFSUNEUAIZKAJO-ARQDHWQXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA
LNTHITQWFMADLM-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,Gallic acids
WGYCQDRFPFTOJY-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
GDGXJKFVYIFICY-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
DSZHBCQGMXJFGB-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
DMNOQQUULVKPTE-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
TZBJGXHYKVUXJN-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
NHEBJNCJBWUPCK-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
SQCSMLZKGFBVFL-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
JIVINIISUDEORF-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
JZFIWABEFJYNRS-DSGPYVBMSA-L,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
DKEIWIJUHWVGRC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
DFJSPRNCKDBZIJ-MWBUVXCNSA-N,Organic compounds,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
WQZGKKKJIJFFOK-GASJEMHNSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,NA
LHGVFZTZFXWLCP-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
KEMQGTRYUADPNZ-UHFFFAOYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
AIONOLUJZLIMTK-AWEZNQCLSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,NA,NA
PJAUEKWZQWLQSU-WDXLFLMVSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
AXWNOFHBYPBYNO-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,4'-O-methylated flavonoids,NA,NA
CBVJYALZVWCCEC-WDXLFLMVSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
NEAWXAXVQDDFJL-PLEVBHNASA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
QIAFMBKCNZACKA-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
QRMZSPFSDQBLIX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
CXBMXYMXMRBMJY-DKBOKBLXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
IACOAKYXFIWAQN-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
XHUBSJRBOQIZNI-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
FPHRLHBSOJUFOE-DKBOKBLXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
LWTDOJAWTHMBFG-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
JUUBCHWRXWPFFH-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Tyrosols and derivatives,Tyrosols,NA,NA
CPHMFZSEPDNJAZ-BYNIDDHOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
BZTHVCCNFBAISK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
JMDNSUMWVYKARS-BYNIDDHOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
VNPXBLBTQUFCHO-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
LELAOEBVZLPXAZ-UHFFFAOYSA-N,Organic compounds,Organosulfur compounds,Sulfoxides,NA,NA,NA,NA
SEOVTRFCIGRIMH-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,NA,NA
KUYNOZVWCFXSNE-BYNIDDHOSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,Glucuronides
BXFFHSIDQOFMLE-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,NA,NA,NA
QURCVMIEKCOAJU-HWKANZROSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
SHJZLGVIOYFHCB-MBAOVNHDSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
DCMKMHVTKFJMAU-HWKANZROSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
IZQSVPBOUDKVDZ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
VVZWHOMBDMMRSC-NTKSAMNMSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
CZFNXFXZXWDYMZ-UHFFFAOYSA-L,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,3'-O-methylated flavonoids,NA,NA
LBKFGYZQBSGRHY-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,P-methoxybenzoic acids and derivatives,NA
VSFFJSSUGMYRMP-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,P-methoxybenzoic acids and derivatives,NA
YKGCBLWILMDSAV-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,8-prenylated flavans,8-prenylated flavanones,NA
IYRMWMYZSQPJKC-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
FNTJVYCFNVUBOL-ZUGPOPFOSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
VOYLAWHADGDBIE-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
PHIQHXFUZVPYII-LURJTMIESA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Carnitines,NA,NA
COLNVLDHVKWLRT-QMMMGPOBSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives
QIVBCDIJIAJPQS-VIFPVBQESA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,NA,NA,NA
OUYCCCASQSFEME-QMMMGPOBSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Tyrosine and derivatives
KBPHJBAIARWVSC-RTIVXWJOSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Xanthophylls,NA
IQPNAANSBPBGFQ-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
JDOFZOKGCYYUER-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
VSUOKLTVXQRUSG-ZFORQUDYSA-N,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
OAIJSZIZWZSQBC-GYZMGTAESA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
BJEPYKJPYRNKOW-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,NA,NA
PXUQTDZNOHRWLI-OXUVVOBNSA-O,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
MDZKJHQSJHYOHJ-LLICELPBSA-N,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,NA,NA,NA
KKSDGJDHHZEWEP-SNAWJCMRSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
XPCHMFOWDFTFNV-SNAWJCMRSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
YPXHXDXMTWPQTO-SNAWJCMRSA-N,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
KSPQDMRTZZYQLM-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
