InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
QFYYAIBEHOEZKC-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
PCYIQKIPHUBFMX-JDQAZDLZSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
ARLAWMCEVZUXEY-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
PYQSUTLVBSTCSK-BJPDSMLBSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
OUSLYTBGQGKTME-BJPDSMLBSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
WTGXAWKVZMQEDA-XGHDNVSXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
PMBZSEOAOIYRMW-XGHDNVSXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
ITPFIKQWNDGDLG-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
IITQLVPAMWYCDQ-DKBOKBLXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WEPNMLSXEATIJK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
KHTAGVZHYUZYMF-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
QVWAEZJXDYOKEH-UHFFFAOYSA-N,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
YFLHDBYZUJBQGB-DKBOKBLXSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
IQWLPDPKVFZEOK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
UFCLZKMFXSILNL-PSEXTPKNSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
IBGBGRVKPALMCQ-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
YQUVCSBJEUQKSH-UHFFFAOYSA-N,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
CXNFDJSOAJNKSU-CDHFTJPESA-N,Organic compounds,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
GSFKEOSQCKWCLH-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
NLCBCVGRBFNEJE-CDHFTJPESA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
