MetaboliteName,SuperClass,Class,SubClass,Level5,Level6,Level7
dihydrocaffeic_acid_3-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
6-methoxy-benzoxazolin-2-one,Organoheterocyclic compounds,Benzoxazoles,Benzoxazolones,NA,NA,NA
theaflavin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,NA,NA
daidzein_7-glucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
2-hydroxybenzoic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
4-hydroxyproline_betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Proline and derivatives
1-methylxanthine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
vanillin,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
epicatechin_5-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
anserine,Organic acids and derivatives,Peptidomimetics,Hybrid peptides,NA,NA,NA
3'-methylepicatechin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
catechol_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
3-hydroxybenzoic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
4'-methylepicatechin_7-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
4-methylcatechol_1-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"2-hydroxy-7-methoxy-1,4-benzoxazin-3-one",Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,NA,NA,NA
"3,5-dihydroxybenzoic_acid_sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
hesperetin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
curcumin_sulfate,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,NA,NA
5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"3,4-dihydroxybenzoic_acid_4-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
p-coumaric_acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
pyrogallol_1-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
genistein_4'-glucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
"3,4-dihydroxybenzoic_acid_4-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
3-(4-hydroxyphenyl)propionic_acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
"1,7-dimethyluric_acid",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone_4'-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
daidzein_diglucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
1-methylpyrogallol_3-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
allyl_methyl_sulfide,Organosulfur compounds,Allyl sulfur compounds,NA,NA,NA,NA
dihydroresveratrol_3-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
lycopene,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
3-methyluric_acid,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
β-carotene,Lipids and lipid-like molecules,Prenol lipids,Tetraterpenoids,Carotenoids,Carotenes,NA
5-n-tricosylresorcinol,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone_3'-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
2-hydroxyhippuric_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
piceid_4'-sulfate,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
3'-methylepicatechin_4'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
3'-methylcatechin_4'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
quercetin_3'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
dihydroisoferulic_acid_3-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone_4'-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"1,3-dimethyluric_acid",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
vanillin_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
"2-β-d-glucopyranosyloxy-4-hydroxy-1,4-benzoxazin-3-one",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
l-tyrosine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Tyrosine and derivatives
5-(3'-hydroxyphenyl)-γ-valerolactone,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA
p-coumaric_acid_sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,NA,NA,NA
4'-methylepicatechin_3'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
sinapic_acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
2-methylpyrogallol_1-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
epigallocatechin_3-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,NA,NA
catechin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
epicatechin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
7-methylxanthine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
l-carnitine,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Carnitines,NA,NA
piceid_4'-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
hesperetin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
"2-β-d-glucopyranosyloxy-7-methoxy-1,4-benzoxazin-3-one",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
4-hydroxyproline,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Proline and derivatives
o-coumaric_acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
n-methylpyridinium,Organoheterocyclic compounds,Pyridines and derivatives,Methylpyridines,N-methylpyridinium compounds,NA,NA
umbelliferone_glucuronide,Phenylpropanoids and polyketides,Coumarins and derivatives,Coumarin glycosides,NA,NA,NA
4'-methylepicatechin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
5-n-nonadecylresorcinol,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
sulforaphane-cysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Cysteine and derivatives
malvidin_3-glucoside,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
"2-β-d-glucopyranosyloxy-1,4-benzoxazin-3-one",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
ferulic_acid_4-sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,NA,NA
caffeic_acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
pyrogallol_1-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"2,3-dihydroxybenzoic_acid_3-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
1-methyluric_acid,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
2-methylpyrogallol,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
3'-methylepicatechin_4'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
"3,5-dihydroxyphenylvaleric_acid",Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
hippuric_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
l-tryptophan,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,NA,NA,NA
"4-hydroxy-5-(3',5'-dihydroxyphenyl)-valeric_acid",Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,NA,NA,NA
urolithin_a_8-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
homovanillic_acid,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
3-methylgallic_acid_4-sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
paraxanthine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
isoferulic_acid,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
3-(3-hydroxyphenyl)propionic_acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
cis-resveratrol_3-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
trans-resveratrol_3-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
dihydroisoferulic_acid_3-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
3-feruloylquinic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
5-feruloylquinic_acid,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone_3'-glucuronide",Benzenoids,Phenol ethers,NA,NA,NA,NA
acetyl-l-carnitine,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA
5-acetylamino-6-formylamino-3-methyluracil,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Hydroxypyrimidines,NA,NA
quercetin,Phenylpropanoids and polyketides,Flavonoids,Flavones,Flavonols,NA,NA
fructose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,C-glycosyl compounds,NA
oleuropein,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,NA,NA,NA
4-hydroxybenzaldehyde,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Aryl-aldehydes,Benzaldehydes
3'-methylepicatechin_7-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
urolithin_a,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
"n-(3,5-dihydroxybenzoyl)glycine",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
4-hydroxybenzoic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
phytanic_acid,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Acyclic diterpenoids,NA,NA
sulforaphane-glutathione,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Oligopeptides,NA
epicatechin_7-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone_glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
syringic_acid_sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
"3,4-dihydroxyphenylacetic_acid_3-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
n-acetyl-s-methylcysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
caffeine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
indole-3-acetic_acid,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,NA,NA
isoferulic_acid_3-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
rhamnitol,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,NA
caffeic_acid_4-sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
pyrogallol_2-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
p-coumaric_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"3,4-dihydroxyphenylacetic_acid_4-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
arsenobetaine,Organometallic compounds,Organometalloid compounds,Organoarsenic compounds,Tetraorganoarsonium salts,NA,NA
genistein_4'-glucuronide-7-sulfate,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
"2-amino-1,6-dimethylimidazo[4,5-b]pyridine_glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,Glucuronides
ergothioneine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Histidine and derivatives
piceid_3-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
sulforaphane,Organosulfur compounds,Sulfoxides,NA,NA,NA,NA
sinapic_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
cyclo(l-leucyl-l-prolyl),Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
ferulic_acid_4-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
vanillic_acid_sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,M-methoxybenzoic acids and derivatives,NA
α-chaconine,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal glycosides,Steroidal saponins,NA,NA
ascorbic_acid,Organoheterocyclic compounds,Dihydrofurans,Furanones,NA,NA,NA
genistein,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,Isoflavones,NA,NA
4-methylgallic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
β-alanine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Beta amino acids and derivatives,NA
"3,4-dicaffeoylquinic_acid",Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
"4,5-dicaffeoylquinic_acid",Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
"2,4-dihydroxybenzoic_acid",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
3-hydroxyphenylacetic_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
dihydroferulic_acid_4-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
phenylacetylglycine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
vaccenic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
"3,5-dihydroxybenzoic_acid",Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,NA,NA
trimethylamine_n-oxide,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides,Trialkyl amine oxides,NA,NA
3-hydroxyphenylacetic_acid_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
epicatechin_3'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
catechin_3'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA
tyrosol_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
ethylgallate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,Galloyl esters
phloretin,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,2'-Hydroxy-dihydrochalcones,NA,NA
bergaptol_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"2-hydroxy-1,4-benzoxazin-3-one",Organoheterocyclic compounds,Benzoxazines,Benzoxazinones,NA,NA,NA
hydroxytyrosol_4'-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
phenyllactic_acid,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,NA,NA
kaempferol_3-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavones,NA,NA,NA
dihydroresveratrol_4'-sulfate,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
"5-(3',4',5'-trihydroxyphenyl)-γ-valerolactone_3'-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
isovanillic_acid_sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,P-methoxybenzoic acids and derivatives,NA
2-aminophenol_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
luteolin_7-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-7-O-glucuronides
isorhamnetin_3-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,Flavonoid-3-O-glucuronides
caffeic_acid_3-sulfate,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
"5-(3',5'-dihydroxyphenyl)-γ-valerolactone",Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
3-(4-hydroxyphenyl)propionic_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,NA
"5-(3',4'-dihydroxyphenyl)-γ-valerolactone_4'-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
acesulfame_k,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,NA,NA,NA
"2,3-dihydroxybenzoic_acid_3-glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
"3-(3,5-dihydroxyphenyl)propionic_acid_sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
p-cresol_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
gallic_acid_3-glucuronide,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
1-methylpyrogallol_2-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
vanillic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,M-methoxybenzoic acids and derivatives,NA
epigallocatechin-3-gallate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Catechin gallates
3-carboxy-4-methyl-5-propyl-2-furanpropanoic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Heterocyclic fatty acids,Furanoid fatty acids,NA
syringic_acid_glucuronide,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
allyl_methyl_sulfone,Organosulfur compounds,Sulfonyls,Sulfones,NA,NA,NA
pentadecanoic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA
pyrogallol,Benzenoids,Phenols,Benzenetriols and derivatives,Pyrogallols and derivatives,5-unsubstituted pyrrogallols,NA
glucose,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Hexoses,NA
"2-β-d-glucopyranosyloxy-4-hydroxy-7-methoxy-1,4-benzoxazin-3-one",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,O-glycosyl compounds,NA
biochanin_a,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,4'-O-methylated isoflavonoids,4'-O-methylisoflavones,NA
trigonelline,Alkaloids and derivatives,NA,NA,NA,NA,NA
urolithin_b,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
piceid_3-sulfate,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
pyrogallol_2-sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
3-hydroxyhippuric_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
equol_7-glucuronide,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,NA,NA,NA
delphinidin_3-glucoside,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Anthocyanins,Anthocyanidin-3-O-glycosides
3-methylgallic_acid_4-glucuronide,Phenylpropanoids and polyketides,Tannins,Hydrolyzable tannins,NA,NA,NA
procyanidin_b2,Phenylpropanoids and polyketides,Flavonoids,Biflavonoids and polyflavonoids,NA,NA,NA
homovanillyl_alcohol,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
"2,5-dihydroxybenzoic_acid_5-sulfate",Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
cyclo(l-prolyl-l-valyl),Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA
epigallocatechin,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Epigallocatechins
taurine,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Organosulfonic acids,NA,NA
m-coumaric_acid_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
4-hydroxyphenylacetic_acid,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA
phenylalanine_betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives
pipecolic_acid_betaine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids
6-amino-5-(n-methylformylamino)-1-methyluracil,Organic nitrogen compounds,Organonitrogen compounds,N-arylamides,N-acetylarylamines,NA,NA
tomatidine,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Spirosolanes and derivatives,NA,NA
theobromine,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
