Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
'Cinnamic acids and derivatives';Class;'Phenylpropanoids and polyketides';;;;;;;;;;;"'FOBI:040025'";;;;;;;;"'FOBI:040025'";;"'Cinnamic acids and derivatives'";
Pyrenes;Class;Benzenoids;;;;;;;;;;;"'FOBI:040026'";;;;;;;;"'FOBI:040026'";;"'Pyrenes'";
Imidazopyrimidines;Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040027'";;;;;;;;"'FOBI:040027'";;"'Imidazopyrimidines'";
Stilbenes;Class;'Phenylpropanoids and polyketides';;;;;;;;;;;"'FOBI:040028'";;;;;;;;"'FOBI:040028'";;"'Stilbenes'";
Benzoxazines;Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040029'";;;;;;;;"'FOBI:040029'";;"'Benzoxazines'";
Peptidomimetics;Class;'Organic acids and derivatives';;;;;;;;;;;"'FOBI:040030'";;;;;;;;"'FOBI:040030'";;"'Peptidomimetics'";
Benzothiazoles;Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040031'";;;;;;;;"'FOBI:040031'";;"'Benzothiazoles'";
Tannins;Class;'Phenylpropanoids and polyketides';;;;;;;;;;;"'FOBI:040032'";;;;;;;;"'FOBI:040032'";;"'Tannins'";
'Fatty Acyls';Class;'Lipids and lipid-like molecules';;;;;;;;;;;"'FOBI:040033'";;;;;;;;"'FOBI:040033'";;"'Fatty Acyls'";
'Indoles and derivatives';Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040034'";;;;;;;;"'FOBI:040034'";;"'Indoles and derivatives'";
'Dibenzylbutane lignans';Class;'Lignans, neolignans and related compounds';;;;;;;;;;;"'FOBI:040035'";;;;;;;;"'FOBI:040035'";;"'Dibenzylbutane lignans'";
'Sulfamic acid derivatives';Class;'Organic acids and derivatives';;;;;;;;;;;"'FOBI:040036'";;;;;;;;"'FOBI:040036'";;"'Sulfamic acid derivatives'";
'Furanoid lignans';Class;'Lignans, neolignans and related compounds';;;;;;;;;;;"'FOBI:040037'";;;;;;;;"'FOBI:040037'";;"'Furanoid lignans'";
'Steroids and steroid derivatives';Class;'Lipids and lipid-like molecules';;;;;;;;;;;"'FOBI:040038'";;;;;;;;"'FOBI:040038'";;"'Steroids and steroid derivatives'";
Sulfoxides;Class;'Organosulfur compounds';;;;;;;;;;;"'FOBI:040039'";;;;;;;;"'FOBI:040039'";;"'Sulfoxides'";
'Allyl sulfur compounds';Class;'Organosulfur compounds';;;;;;;;;;;"'FOBI:040040'";;;;;;;;"'FOBI:040040'";;"'Allyl sulfur compounds'";
'Organonitrogen compounds';Class;'Organic nitrogen compounds';;;;;;;;;;;"'FOBI:040041'";;;;;;;;"'FOBI:040041'";;"'Organonitrogen compounds'";
'Pyridines and derivatives';Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040042'";;;;;;;;"'FOBI:040042'";;"'Pyridines and derivatives'";
'Phenol ethers';Class;Benzenoids;;;;;;;;;;;"'FOBI:040043'";;;;;;;;"'FOBI:040043'";;"'Phenol ethers'";
Diazines;Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040044'";;;;;;;;"'FOBI:040044'";;"'Diazines'";
'Organometalloid compounds';Class;'Organometallic compounds';;;;;;;;;;;"'FOBI:040045'";;;;;;;;"'FOBI:040045'";;"'Organometalloid compounds'";
Dihydrofurans;Class;'Organoheterocyclic compounds';;;;;;;;;;;"'FOBI:040046'";;;;;;;;"'FOBI:040046'";;"'Dihydrofurans'";
'Linear 1,3-diarylpropanoids';Class;'Phenylpropanoids and polyketides';;;;;;;;;;;"'FOBI:040047'";;;;;;;;"'FOBI:040047'";;"'Linear 1,3-diarylpropanoids'";
Sulfonyls;Class;'Organosulfur compounds';;;;;;;;;;;"'FOBI:040048'";;;;;;;;"'FOBI:040048'";;"'Sulfonyls'";
'Organic sulfonic acids and derivatives';Class;'Organic acids and derivatives';;;;;;;;;;;"'FOBI:040049'";;;;;;;;"'FOBI:040049'";;"'Organic sulfonic acids and derivatives'";
'Flavonoid glycosides';Class;Flavonoids;;;;;;;;;;;"'FOBI:040050'";;;;;;;;"'FOBI:040050'";;"'Flavonoid glycosides'";
Isoflavans;Class;Isoflavonoids;;;;;;;;;;;"'FOBI:040051'";;;;;;;;"'FOBI:040051'";;"'Isoflavans'";
Anilides;Class;'Benzene and substituted derivatives';;;;;;;;;;;"'FOBI:040052'";;;;;;;;"'FOBI:040052'";;"'Anilides'";
'Carbohydrates and carbohydrate conjugates';Class;'Organooxygen compounds';;;;;;;;;;;"'FOBI:040053'";;;;;;;;"'FOBI:040053'";;"'Carbohydrates and carbohydrate conjugates'";
'O-methylated flavonoids';Class;Flavonoids;;;;;;;;;;;"'FOBI:040054'";;;;;;;;"'FOBI:040054'";;"'O-methylated flavonoids'";
'Benzoic acids and derivatives';Class;'Benzene and substituted derivatives';;;;;;;;;;;"'FOBI:040055'";;;;;;;;"'FOBI:040055'";;"'Benzoic acids and derivatives'";
Tetraterpenoids;Class;'Prenol lipids';;;;;;;;;;;"'FOBI:040056'";;;;;;;;"'FOBI:040056'";;"'Tetraterpenoids'";
Arylsulfates;Class;'Organic sulfuric acids and derivatives';;;;;;;;;;;"'FOBI:040057'";;;;;;;;"'FOBI:040057'";;"'Arylsulfates'";
'Coumarin glycosides';Class;'Coumarins and derivatives';;;;;;;;;;;"'FOBI:040058'";;;;;;;;"'FOBI:040058'";;"'Coumarin glycosides'";
Benzoxazolones;Class;Benzoxazoles;;;;;;;;;;;"'FOBI:040059'";;;;;;;;"'FOBI:040059'";;"'Benzoxazolones'";
'Isoflavonoid O-glycosides';Class;Isoflavonoids;;;;;;;;;;;"'FOBI:040060'";;;;;;;;"'FOBI:040060'";;"'Isoflavonoid O-glycosides'";
Flavans;Class;Flavonoids;;;;;;;;;;;"'FOBI:040061'";;;;;;;;"'FOBI:040061'";;"'Flavans'";
Benzenediols;Class;Phenols;;;;;;;;;;;"'FOBI:040062'";;;;;;;;"'FOBI:040062'";;"'Benzenediols'";
'Beta hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;;;;;;;;;"'FOBI:040063'";;;;;;;;"'FOBI:040063'";;"'Beta hydroxy acids and derivatives'";
'Linear diarylheptanoids';Class;Diarylheptanoids;;;;;;;;;;;"'FOBI:040064'";;;;;;;;"'FOBI:040064'";;"'Linear diarylheptanoids'";
'Amino acids, peptides, and analogues';Class;'Carboxylic acids and derivatives';;;;;;;;;;;"'FOBI:040065'";;;;;;;;"'FOBI:040065'";;"'Amino acids, peptides, and analogues'";
'Benzenetriols and derivatives';Class;Phenols;;;;;;;;;;;"'FOBI:040066'";;;;;;;;"'FOBI:040066'";;"'Benzenetriols and derivatives'";
'Hydroxycinnamic acids and derivatives';Class;'Cinnamic acids and derivatives';;;;;;;;;;;"'FOBI:040067'";;;;;;;;"'FOBI:040067'";;"'Hydroxycinnamic acids and derivatives'";
'Purines and purine derivatives';Class;Imidazopyrimidines;;;;;;;;;;;"'FOBI:040068'";;;;;;;;"'FOBI:040068'";;"'Purines and purine derivatives'";
'Phenylacetic acids';Class;'Benzene and substituted derivatives';;;;;;;;;;;"'FOBI:040069'";;;;;;;;"'FOBI:040069'";;"'Phenylacetic acids'";
'Aniline and substituted anilines';Class;'Benzene and substituted derivatives';;;;;;;;;;;"'FOBI:040070'";;;;;;;;"'FOBI:040070'";;"'Aniline and substituted anilines'";
'Stilbene glycosides';Class;Stilbenes;;;;;;;;;;;"'FOBI:040071'";;;;;;;;"'FOBI:040071'";;"'Stilbene glycosides'";
Benzoxazinones;Class;Benzoxazines;;;;;;;;;;;"'FOBI:040072'";;;;;;;;"'FOBI:040072'";;"'Benzoxazinones'";
'Hybrid peptides';Class;Peptidomimetics;;;;;;;;;;;"'FOBI:040073'";;;;;;;;"'FOBI:040073'";;"'Hybrid peptides'";
Isoflav-2-enes;Class;Isoflavonoids;;;;;;;;;;;"'FOBI:040074'";;;;;;;;"'FOBI:040074'";;"'Isoflav-2-enes'";
'Alcohols and polyols';Class;'Organooxygen compounds';;;;;;;;;;;"'FOBI:040075'";;;;;;;;"'FOBI:040075'";;"'Alcohols and polyols'";
'Hydrolyzable tannins';Class;Tannins;;;;;;;;;;;"'FOBI:040076'";;;;;;;;"'FOBI:040076'";;"'Hydrolyzable tannins'";
'Lineolic acids and derivatives';Class;'Fatty Acyls';;;;;;;;;;;"'FOBI:040077'";;;;;;;;"'FOBI:040077'";;"'Lineolic acids and derivatives'";
'Indolyl carboxylic acids and derivatives';Class;'Indoles and derivatives';;;;;;;;;;;"'FOBI:040078'";;;;;;;;"'FOBI:040078'";;"'Indolyl carboxylic acids and derivatives'";
'Dibenzylbutanediol lignans';Class;'Dibenzylbutane lignans';;;;;;;;;;;"'FOBI:040079'";;;;;;;;"'FOBI:040079'";;"'Dibenzylbutanediol lignans'";
'1-hydroxy-4-unsubstituted benzenoids';Class;Phenols;;;;;;;;;;;"'FOBI:040080'";;;;;;;;"'FOBI:040080'";;"'1-hydroxy-4-unsubstituted benzenoids'";
Methoxyphenols;Class;Phenols;;;;;;;;;;;"'FOBI:040081'";;;;;;;;"'FOBI:040081'";;"'Methoxyphenols'";
Furanocoumarins;Class;'Coumarins and derivatives';;;;;;;;;;;"'FOBI:040082'";;;;;;;;"'FOBI:040082'";;"'Furanocoumarins'";
Cyclamates;Class;'Sulfamic acid derivatives';;;;;;;;;;;"'FOBI:040083'";;;;;;;;"'FOBI:040083'";;"'Cyclamates'";
'O-methylated isoflavonoids';Class;Isoflavonoids;;;;;;;;;;;"'FOBI:040084'";;;;;;;;"'FOBI:040084'";;"'O-methylated isoflavonoids'";
'Fatty acids and conjugates';Class;'Fatty Acyls';;;;;;;;;;;"'FOBI:040085'";;;;;;;;"'FOBI:040085'";;"'Fatty acids and conjugates'";
'Tetrahydrofuran lignans';Class;'Furanoid lignans';;;;;;;;;;;"'FOBI:040086'";;;;;;;;"'FOBI:040086'";;"'Tetrahydrofuran lignans'";
'Carbonyl compounds';Class;'Organooxygen compounds';;;;;;;;;;;"'FOBI:040087'";;;;;;;;"'FOBI:040087'";;"'Carbonyl compounds'";
Flavones;Class;Flavonoids;;;;;;;;;;;"'FOBI:040088'";;;;;;;;"'FOBI:040088'";;"'Flavones'";
Cresols;Class;Phenols;;;;;;;;;;;"'FOBI:040089'";;;;;;;;"'FOBI:040089'";;"'Cresols'";
'Medium-chain hydroxy acids and derivatives';Class;'Hydroxy acids and derivatives';;;;;;;;;;;"'FOBI:040090'";;;;;;;;"'FOBI:040090'";;"'Medium-chain hydroxy acids and derivatives'";
'Tyrosols and derivatives';Class;Phenols;;;;;;;;;;;"'FOBI:040091'";;;;;;;;"'FOBI:040091'";;"'Tyrosols and derivatives'";
