Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
'ethylgallate 3-sulfate';Class;'Gallic acid and derivatives';"''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''legume food product''	''red wine''";;;;;;;;"'JRHRIYQMDUZNBA-UHFFFAOYSA-N'";"'InChI=1S/C9H10O8S/c1-2-16-9(12)5-3-6(10)8(11)7(4-5)17-18(13,14)15/h3-4,10-11H,2H2,1H3,(H,13,14,15)'";"'FOBI:030367'";;;;;;;;"'FOBI:030367'";;"'ethylgallate 3-sulfate'";
'2-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''olive oil''	''nut (whole or part)''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;;;;;;;"'MLBYCKGONSBJSK-IYJSFKGYSA-N'";"'InChI=1S/C17H22O6/c1-9-10(2)15(16(20)21)23-17(11(9)3)22-13-7-5-4-6-12(13)8-14(18)19/h4-7,9-11,15,17H,8H2,1-3H3,(H,18,19)(H,20,21)/t9-,10?,11?,15-,17+/m0/s1'";"'FOBI:030371'";;;;;;;;"'FOBI:030371'";;"'2-hydroxyphenylacetic acid glucuronide'";
'3-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''red wine''	''Whole grain cereal products''	''vegetable food product''";;;;;;;;"'UJBQYMIQTYWRFA-UHFFFAOYSA-N'";"'InChI=1S/C14H16O9/c15-8(16)5-6-2-1-3-7(4-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)'";"'FOBI:030372'";;;;;;;;"'FOBI:030372'";;"'3-hydroxyphenylacetic acid glucuronide'";
'4-hydroxyphenylacetic acid glucuronide';Class;'Phenolic glycosides';"''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''Whole grain cereal products''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;;;;;;;"'DPTGYOOHBJLCOL-UHFFFAOYSA-N'";"'InChI=1S/C14H16O9/c15-8(16)5-6-1-3-7(4-2-6)22-14-11(19)9(17)10(18)12(23-14)13(20)21/h1-4,9-12,14,17-19H,5H2,(H,15,16)(H,20,21)'";"'FOBI:030373'";;;;;;;;"'FOBI:030373'";;"'4-hydroxyphenylacetic acid glucuronide'";
'2-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''cacao food product''	''coffee based beverage product''	''olive oil''	''tea based beverage product''	''plant fruit food product''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''legume food product''	''vegetable food product''";;;;;;;;"'SXQLBARVXZQRLB-UHFFFAOYSA-N'";"'InChI=1S/C8H8O6S/c9-8(10)5-6-3-1-2-4-7(6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)'";"'FOBI:030374'";;;;;;;;"'FOBI:030374'";;"'2-hydroxyphenylacetic acid sulfate'";
'3-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''red wine''	''vegetable food product''";;;;;;;;"'VBCLPDSIELLWDI-UHFFFAOYSA-N'";"'InChI=1S/C8H8O6S/c9-8(10)5-6-2-1-3-7(4-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)'";"'FOBI:030375'";;;;;;;;"'FOBI:030375'";;"'3-hydroxyphenylacetic acid sulfate'";
'4-hydroxyphenylacetic acid sulfate';Class;Phenylsulfates;"''olive oil''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''";;;;;;;;"'IIODELUADFSHIZ-UHFFFAOYSA-N'";"'InChI=1S/C8H8O6S/c9-8(10)5-6-1-3-7(4-2-6)14-15(11,12)13/h1-4H,5H2,(H,9,10)(H,11,12,13)'";"'FOBI:030376'";;;;;;;;"'FOBI:030376'";;"'4-hydroxyphenylacetic acid sulfate'";
'3,4-dihydroxyphenylacetic acid';Class;Catechols;"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''	''olive oil''	''nut (whole or part)''	''red wine''	''legume food product''";;;;"'15765504 | 532'";"'HMDB01336'";"'C01161'";"'547'";"'CFFZDZCDUFSOFZ-UHFFFAOYSA-N'";"'InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)'";"'FOBI:030377'";;;;;;;;"'FOBI:030377'";;"'3,4-dihydroxyphenylacetic acid'";
'homovanillic acid 4-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''	''Whole grain cereal products''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;;;;"'CXBMXYMXMRBMJY-DKBOKBLXSA-N'";"'InChI=1S/C15H18O10/c1-23-8-4-6(5-9(16)17)2-3-7(8)24-15-12(20)10(18)11(19)13(25-15)14(21)22/h2-4,10-13,15,18-20H,5H2,1H3,(H,16,17)(H,21,22)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030381'";;;;;;;;"'FOBI:030381'";;"'homovanillic acid 4-glucuronide'";
'homovanillic acid 4-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''coffee based beverage product''";;;;;"'HMDB11719'";;"'29981063'";"'IACOAKYXFIWAQN-UHFFFAOYSA-N'";"'InChI=1S/C9H10O7S/c1-15-8-4-6(5-9(10)11)2-3-7(8)16-17(12,13)14/h2-4H,5H2,1H3,(H,10,11)(H,12,13,14)'";"'FOBI:030382'";;;;;;;;"'FOBI:030382'";;"'homovanillic acid 4-sulfate'";
'o-coumaric acid glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''red wine''	''vegetable food product''";;;;;;;;"'KRKMNGLGYXJMBZ-WAYWQWQTSA-N'";"'InChI=1S/C15H16O9/c16-9(17)6-5-7-3-1-2-4-8(7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b6-5-'";"'FOBI:030386'";;;;;;;;"'FOBI:030386'";;"'o-coumaric acid glucuronide'";
'm-coumaric acid glucuronide';Class;'Phenolic glycosides';"''olive oil''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''red wine''	''vegetable food product''";;;;;;;;"'XPCHMFOWDFTFNV-SNAWJCMRSA-N'";"'InChI=1S/C15H16O9/c16-9(17)5-4-7-2-1-3-8(6-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b5-4+'";"'FOBI:030387'";;;;;;;;"'FOBI:030387'";;"'m-coumaric acid glucuronide'";
'p-coumaric acid glucuronide';Class;'Phenolic glycosides';"''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''";;;;;;;"'71314996'";"'SOKJXEKPKWKYKR-KPGYTNHDSA-N'";"'InChI=1S/C15H16O9/c16-9(17)6-3-7-1-4-8(5-2-7)23-15-12(20)10(18)11(19)13(24-15)14(21)22/h1-6,10-13,15,18-20H,(H,16,17)(H,21,22)/b6-3+/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030388'";;;;;;;;"'FOBI:030388'";;"'p-coumaric acid glucuronide'";
'o-coumaric acid sulfate';Class;'Coumaric acids';"''Whole grain cereal products''	''vegetable food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''plant fruit food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''";;;;;;;"'59950526'";"'BTRJLVGUHCECAH-UHFFFAOYSA-N'";"'InChI=1S/C9H8O6S/c10-9(11)6-5-7-3-1-2-4-8(7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)'";"'FOBI:030389'";;;;;;;;"'FOBI:030389'";;"'o-coumaric acid sulfate'";
'm-coumaric acid sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''plant fruit food product''	''vegetable food product''	''red wine''	''legume food product''	''cacao food product''	''olive oil''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;;;"'4947175'";;;"'6443141'";"'YPXHXDXMTWPQTO-SNAWJCMRSA-N'";"'InChI=1S/C9H8O6S/c10-9(11)5-4-7-2-1-3-8(6-7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)/b5-4+'";"'FOBI:030390'";;;;;;;;"'FOBI:030390'";;"'m-coumaric acid sulfate'";
'p-coumaric acid sulfate';Class;'Cinnamic acids';"''legume food product''	''plant fruit food product''	''vegetable food product''	''red wine''	''olive oil''	''nut (whole or part)''	''cacao food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''";;;;"'4797737'";;;"'6070438'";"'OYDCCWNLILCHDJ-ZZXKWVIFSA-N'";"'InChI=1S/C9H8O6S/c10-9(11)6-3-7-1-4-8(5-2-7)15-16(12,13)14/h1-6H,(H,10,11)(H,12,13,14)/b6-3+'";"'FOBI:030391'";;;;;;;;"'FOBI:030391'";;"'p-coumaric acid sulfate'";
'caffeic acid 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''tea based beverage product''	''nut (whole or part)''	''cacao food product''	''red wine''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''	''coffee based beverage product''	''vegetable food product''";;;;;;;"'25171992'";"'BSOMSDFTZKNUHY-ZYZFHZPYSA-N'";"'InChI=1S/C15H16O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030393'";;;;;;;;"'FOBI:030393'";;"'caffeic acid 3-glucuronide'";
'caffeic acid 4-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''legume food product''	''coffee based beverage product''	''cacao food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''	''red wine''	''vegetable food product''";;;;;;;"'25171780'";"'LTGOIJNQWZWJRF-ZYZFHZPYSA-N'";"'InChI=1S/C15H16O10/c16-7-5-6(2-4-9(17)18)1-3-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1-5,10-13,15-16,19-21H,(H,17,18)(H,22,23)/b4-2+/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030394'";;;;;;;;"'FOBI:030394'";;"'caffeic acid 4-glucuronide'";
'caffeic acid 3-sulfate';Class;'Hydroxycinnamic acids';"''olive oil''	''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''legume food product''	''vegetable food product''";;;;;;;"'102261219'";"'VWQNTRNACRFUCQ-DUXPYHPUSA-N'";"'InChI=1S/C9H8O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+'";"'FOBI:030395'";;;;;;;;"'FOBI:030395'";;"'caffeic acid 3-sulfate'";
'caffeic acid 4-sulfate';Class;'Hydroxycinnamic acids';"''tea based beverage product''	''olive oil''	''coffee based beverage product''	''plant fruit food product''	''cacao food product''	''vegetable food product''	''Whole grain cereal products''	''red wine''	''nut (whole or part)''	''legume food product''";;;;;;;"'21668705'";"'SNVAIAITQIIEMQ-DUXPYHPUSA-N'";"'InChI=1S/C9H8O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1-5,10H,(H,11,12)(H,13,14,15)/b4-2+'";"'FOBI:030396'";;;;;;;;"'FOBI:030396'";;"'caffeic acid 4-sulfate'";
'4-caffeoylquinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''plant fruit food product''	''vegetable food product''";;;;;;;"'9798666'";"'GYFFKZTYYAFCTR-AVXJPILUSA-N'";"'InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(21)25-14-11(19)6-16(24,15(22)23)7-12(14)20/h1-5,11-12,14,17-20,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14?,16?/m1/s1'";"'FOBI:030398'";;;;;;;;"'FOBI:030398'";;"'4-caffeoylquinic acid'";
'3,5-dicaffeoylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;;;"'4976336'";;;"'6474310'";"'KRZBCHWVBQOTNZ-RDJMKVHDSA-N'";"'InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(30)36-19-11-25(35,24(33)34)12-20(23(19)32)37-22(31)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-29,32,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23?,25?/m1/s1'";"'FOBI:030401'";;;;;;;;"'FOBI:030401'";;"'3,5-dicaffeoylquinic acid'";
'4,5-dicaffeoylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;;;"'4976335'";;;"'6474309'";"'UFCLZKMFXSILNL-RVXRWRFUSA-N'";"'InChI=1S/C25H24O12/c26-15-5-1-13(9-17(15)28)3-7-21(31)36-20-12-25(35,24(33)34)11-19(30)23(20)37-22(32)8-4-14-2-6-16(27)18(29)10-14/h1-10,19-20,23,26-30,35H,11-12H2,(H,33,34)/b7-3+,8-4+/t19-,20-,23+,25-/m1/s1'";"'FOBI:030402'";;;;;;;;"'FOBI:030402'";;"'4,5-dicaffeoylquinic acid'";
'3-feruloylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''vegetable food product''";;;;"'8309124'";;;"'10133609'";"'RAGZUCNPTLULOL-KQJPBSFVSA-N'";"'InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15+,17-/m1/s1'";"'FOBI:030403'";;;;;;;;"'FOBI:030403'";;"'3-feruloylquinic acid'";
'4-feruloylquinic acid';Class;'Quinic acids and derivatives';"''plant fruit food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''";;;;"'8352553'";;;"'10177048'";"'VTMFDSJJVNQXLT-XQCMRRNBSA-N'";"'InChI=1S/C17H20O9/c1-25-13-6-9(2-4-10(13)18)3-5-14(21)26-15-11(19)7-17(24,16(22)23)8-12(15)20/h2-6,11-12,15,18-20,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,12-,15?,17?/m1/s1'";"'FOBI:030404'";;;;;;;;"'FOBI:030404'";;"'4-feruloylquinic acid'";
'5-feruloylquinic acid';Class;'Quinic acids and derivatives';"''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''plant fruit food product''";;;;;;;"'15901362'";"'RAGZUCNPTLULOL-LWOZFZEPSA-N'";"'InChI=1S/C17H20O9/c1-25-12-6-9(2-4-10(12)18)3-5-14(20)26-13-8-17(24,16(22)23)7-11(19)15(13)21/h2-6,11,13,15,18-19,21,24H,7-8H2,1H3,(H,22,23)/b5-3+/t11-,13-,15-,17+/m0/s1'";"'FOBI:030405'";;;;;;;;"'FOBI:030405'";;"'5-feruloylquinic acid'";
'ferulic acid 4-glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''red wine''	''olive oil''	''plant fruit food product''	''Whole grain cereal products''";;;;"'4947174'";;;"'6443140'";"'TWSIWBHKRJLZCF-MBAOVNHDSA-N'";"'InChI=1S/C16H18O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2-6,11-14,16,19-21H,1H3,(H,17,18)(H,22,23)/b5-3+/t11-,12-,13+,14-,16+/m0/s1'";"'FOBI:030408'";;;;;;;;"'FOBI:030408'";;"'ferulic acid 4-glucuronide'";
'isoferulic acid 3-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''vegetable food product''	''legume food product''	''plant fruit food product''	''nut (whole or part)''	''Whole grain cereal products''	''red wine''	''olive oil''	''tea based beverage product''	''cacao food product''";;;;;;;"'49844484'";"'SHJZLGVIOYFHCB-MBAOVNHDSA-N'";"'InChI=1S/C16H18O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2-6,11-14,16,19-21H,1H3,(H,17,18)(H,22,23)/b5-3+/t11-,12-,13+,14-,16+/m0/s1'";"'FOBI:030409'";;;;;;;;"'FOBI:030409'";;"'isoferulic acid 3-glucuronide'";
'ferulic acid 4-sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''vegetable food product''	''legume food product''	''Whole grain cereal products''	''red wine''	''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;"'4878542'";;;"'6305574'";"'PZPATWACAAOHTJ-HWKANZROSA-N'";"'InChI=1S/C10H10O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2-6H,1H3,(H,11,12)(H,13,14,15)/b5-3+'";"'FOBI:030410'";;;;;;;;"'FOBI:030410'";;"'ferulic acid 4-sulfate'";
'isoferulic acid 3-sulfate';Class;'Coumaric acids and derivatives';"''nut (whole or part)''	''legume food product''	''red wine''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''vegetable food product''";;;;;;;"'71749556'";"'DCMKMHVTKFJMAU-HWKANZROSA-N'";"'InChI=1S/C10H10O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2-6H,1H3,(H,11,12)(H,13,14,15)/b5-3+'";"'FOBI:030411'";;;;;;;;"'FOBI:030411'";;"'isoferulic acid 3-sulfate'";
'sinapic acid glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''legume food product''	''nut (whole or part)''	''olive oil''	''Whole grain cereal products''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''red wine''	''vegetable food product''";;;;;;;;"'SVMPWPWAQOHKHG-UOZBHZCFSA-N'";"'InChI=1S/C17H20O11/c1-25-8-5-7(3-4-10(18)19)6-9(26-2)14(8)27-17-13(22)11(20)12(21)15(28-17)16(23)24/h3-6,11-13,15,17,20-22H,1-2H3,(H,18,19)(H,23,24)/t11-,12-,13+,15-,17+/m0/s1'";"'FOBI:030413'";;;;;;;;"'FOBI:030413'";;"'sinapic acid glucuronide'";
'sinapic acid sulfate';Class;'Coumaric acids and derivatives';"''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''red wine''	''Whole grain cereal products''	''nut (whole or part)''	''vegetable food product''	''legume food product''";;;;;;;;"'KJWQVTFGBFEXMV-ONEGZZNKSA-N'";"'InChI=1S/C11H12O8S/c1-17-8-5-7(3-4-10(12)13)6-9(18-2)11(8)19-20(14,15)16/h3-6H,1-2H3,(H,12,13)(H,14,15,16)/b4-3+'";"'FOBI:030414'";;;;;;;;"'FOBI:030414'";;"'sinapic acid sulfate'";
'3-(3,5-dihydroxyphenyl)propionic acid';Class;'Phenylpropanoic acids';"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''red wine''	''plant fruit food product''	''olive oil''	''Whole grain cereal products''";;;;;;;"'161525'";"'ITPFIKQWNDGDLG-UHFFFAOYSA-N'";"'InChI=1S/C9H10O4/c10-7-3-6(1-2-9(12)13)4-8(11)5-7/h3-5,10-11H,1-2H2,(H,12,13)'";"'FOBI:030419'";;;;;;;;"'FOBI:030419'";;"'3-(3,5-dihydroxyphenyl)propionic acid'";
'3-(3,5-dihydroxyphenyl)propionic acid glucuronide';Class;'Phenolic glycosides';"''red wine''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''";;;;;;;;"'IITQLVPAMWYCDQ-DKBOKBLXSA-N'";"'InChI=1S/C15H18O10/c16-7-3-6(1-2-9(17)18)4-8(5-7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h3-5,10-13,15-16,19-21H,1-2H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030420'";;;;;;;;"'FOBI:030420'";;"'3-(3,5-dihydroxyphenyl)propionic acid glucuronide'";
'3-(3,5-dihydroxyphenyl)propionic acid sulfate';Class;Phenylsulfates;"''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;;;;"'WEPNMLSXEATIJK-UHFFFAOYSA-N'";"'InChI=1S/C9H10O7S/c10-7-5-6(2-4-9(11)12)1-3-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)'";"'FOBI:030421'";;;;;;;;"'FOBI:030421'";;"'3-(3,5-dihydroxyphenyl)propionic acid sulfate'";
'dihydrocaffeic acid 3-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''plant fruit food product''	''red wine''	''nut (whole or part)''	''Whole grain cereal products''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;;;;;;"'49844972'";"'AELQNMHOLDHBFA-DKBOKBLXSA-N'";"'InChI=1S/C15H18O10/c16-7-3-1-6(2-4-9(17)18)5-8(7)24-15-12(21)10(19)11(20)13(25-15)14(22)23/h1,3,5,10-13,15-16,19-21H,2,4H2,(H,17,18)(H,22,23)/t10-,11-,12+,13-,15+/m0/s1'";"'FOBI:030423'";;;;;;;;"'FOBI:030423'";;"'dihydrocaffeic acid 3-glucuronide'";
'dihydrocaffeic acid 3-sulfate';Class;Phenylsulfates;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;;;;;;"'49844181'";"'MIMULQQHBAZGER-UHFFFAOYSA-N'";"'InChI=1S/C9H10O7S/c10-7-3-1-6(2-4-9(11)12)5-8(7)16-17(13,14)15/h1,3,5,10H,2,4H2,(H,11,12)(H,13,14,15)'";"'FOBI:030424'";;;;;;;;"'FOBI:030424'";;"'dihydrocaffeic acid 3-sulfate'";
'dihydroferulic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''olive oil''	''nut (whole or part)''	''red wine''	''legume food product''";;;;;;;"'14340'";"'BOLQJTPHPSDZHR-UHFFFAOYSA-N'";"'InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)'";"'FOBI:030425'";;;;;;;;"'FOBI:030425'";;"'dihydroferulic acid'";
'dihydroisoferulic acid';Class;'Phenylpropanoic acids';"''plant fruit food product''	''cacao food product''	''coffee based beverage product''	''tea based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''olive oil''	''legume food product''	''red wine''";;;;"'2033192'";;;"'2752054'";"'ZVIJTQFTLXXGJA-UHFFFAOYSA-N'";"'InChI=1S/C10H12O4/c1-14-9-4-2-7(6-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)'";"'FOBI:030426'";;;;;;;;"'FOBI:030426'";;"'dihydroisoferulic acid'";
'dihydroferulic acid 4-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''	''nut (whole or part)''";;;;;;;"'190069'";"'KYERCTIKYSSKPA-JHZZJYKESA-N'";"'InChI=1S/C16H20O10/c1-24-9-6-7(3-5-10(17)18)2-4-8(9)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1'";"'FOBI:030427'";;;;;;;;"'FOBI:030427'";;"'dihydroferulic acid 4-glucuronide'";
'dihydroisoferulic acid 3-glucuronide';Class;'Phenolic glycosides';"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''red wine''	''Whole grain cereal products''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''";;;;;;;"'49844034'";"'OSJGZCUHTGTJHT-JHZZJYKESA-N'";"'InChI=1S/C16H20O10/c1-24-8-4-2-7(3-5-10(17)18)6-9(8)25-16-13(21)11(19)12(20)14(26-16)15(22)23/h2,4,6,11-14,16,19-21H,3,5H2,1H3,(H,17,18)(H,22,23)/t11-,12-,13+,14-,16+/m0/s1'";"'FOBI:030428'";;;;;;;;"'FOBI:030428'";;"'dihydroisoferulic acid 3-glucuronide'";
'dihydroferulic acid 4-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''olive oil''	''cacao food product''	''coffee based beverage product''	''vegetable food product''	''red wine''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''Whole grain cereal products''";;;;;;;"'187489'";"'UMCDODPBPQMWQP-UHFFFAOYSA-N'";"'InChI=1S/C10H12O7S/c1-16-9-6-7(3-5-10(11)12)2-4-8(9)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)'";"'FOBI:030429'";;;;;;;;"'FOBI:030429'";;"'dihydroferulic acid 4-sulfate'";
'dihydroisoferulic acid 3-sulfate';Class;Phenylsulfates;"''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''olive oil''	''plant fruit food product''	''red wine''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;;;;"'49844179'";"'QZIYZVFIROFZCV-UHFFFAOYSA-N'";"'InChI=1S/C10H12O7S/c1-16-8-4-2-7(3-5-10(11)12)6-9(8)17-18(13,14)15/h2,4,6H,3,5H2,1H3,(H,11,12)(H,13,14,15)'";"'FOBI:030430'";;;;;;;;"'FOBI:030430'";;"'dihydroisoferulic acid 3-sulfate'";
