Entity,Type,Superclass(es),http://purl.obolibrary.org/obo/FOBI_00422,http://purl.obolibrary.org/obo/FOBI_00423,http://purl.obolibrary.org/obo/FOBI_00424,http://purl.obolibrary.org/obo/FOBI_00425,http://purl.obolibrary.org/obo/FOBI_040232,http://purl.obolibrary.org/obo/FOBI_040233,http://purl.obolibrary.org/obo/FOBI_040235,http://purl.obolibrary.org/obo/FOBI_040236,http://purl.obolibrary.org/obo/FOBI_040237,http://purl.obolibrary.org/obo/FOBI_040238,http://purl.obolibrary.org/obo/FOBI_043480,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000412,http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.obolibrary.org/obo/FOODON_03307770,Class,http://purl.obolibrary.org/obo/FOODON_00002222,,,"''vegetable food product''	''hen egg (whole)''	''bread food product''",,,,,,,,"'FOBI:007967'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'egg sandwich'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'egg salad sandwich'",
http://purl.obolibrary.org/obo/FOODON_03309462,Class,http://purl.obolibrary.org/obo/FOODON_00002257,,,"''vegetable food product''	''meat food product''",,,,,,,,"'FOBI:007939'","'http://purl.obolibrary.org/obo/IAO_0000428'",,,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'broth'",
http://purl.obolibrary.org/obo/FOODON_03309491,Class,http://purl.obolibrary.org/obo/FOODON_03317365,,,,,,,,,,,"'FOBI:07582'","'http://purl.obolibrary.org/obo/IAO_0000428'",,,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'gin'",
http://purl.obolibrary.org/obo/FOODON_03309709,Class,http://purl.obolibrary.org/obo/FOBI_0101,,,,,,,,,,,"'FOBI:0104'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'eggplant'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'eggplant (whole, raw)'",
http://purl.obolibrary.org/obo/FOODON_03309832,Class,http://purl.obolibrary.org/obo/FOODON_00001151,,,,,,,,,,,"'FOBI:0064'","'http://purl.obolibrary.org/obo/IAO_0000428'","'The orange is the fruit of the citrus species Citrus × sinensis in the family Rutaceae.'","'orange'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'orange (whole, raw)'",
http://purl.obolibrary.org/obo/FOODON_03309855,Class,http://purl.obolibrary.org/obo/FOBI_0145,,,,,,,,,,,"'FOBI:0146'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'oat'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'whole oats (raw)'",
http://purl.obolibrary.org/obo/FOODON_03309858,Class,http://purl.obolibrary.org/obo/FOODON_03411566,,,,,,,,,,,"'FOBI:0112'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'rhubarb'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'rhubarb stalk (whole, raw)'",
http://purl.obolibrary.org/obo/FOODON_03309927,Class,http://purl.obolibrary.org/obo/FOBI_0101,,,,,,,,,,,"'FOBI:0105'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'tomato'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'tomato (whole, raw)'",
http://purl.obolibrary.org/obo/FOODON_03309954,Class,http://purl.obolibrary.org/obo/FOODON_00003267,,,,,,,,,,,"'FOBI:07561'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'salt'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'table salt'",
http://purl.obolibrary.org/obo/FOODON_03309985,Class,http://purl.obolibrary.org/obo/FOODON_03301641,,,,,,,,,,,"'FOBI:07547'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'rice cake'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'rice cake (food product)'",
http://purl.obolibrary.org/obo/FOODON_03310193,Class,http://purl.obolibrary.org/obo/FOBI_0145,,,,,,,,,,,"'FOBI:0147'","'http://purl.obolibrary.org/obo/IAO_0000428'",,"'quinoa'",,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'quinoa seed (dried)'",
http://purl.obolibrary.org/obo/FOODON_03310232,Class,http://purl.obolibrary.org/obo/FOODON_03305263,,,,,,,,,,,"'FOBI:0043'","'http://purl.obolibrary.org/obo/IAO_0000428'",,,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'palm oil'",
http://purl.obolibrary.org/obo/FOODON_03310272,Class,http://purl.obolibrary.org/obo/FOODON_03303222,,,,,,,,,,,"'FOBI:07541'","'http://purl.obolibrary.org/obo/IAO_0000122'","'Red wine is a type of wine made from dark-colored  grape varieties. The actual color of the wine can range from intense violet, typical of young wines, through to brick red for mature wines and brown for older red wines.'",,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'red wine'",
http://purl.obolibrary.org/obo/FOODON_03310273,Class,http://purl.obolibrary.org/obo/FOODON_03303222,,,,,,,,,,,"'FOBI:07575'","'http://purl.obolibrary.org/obo/IAO_0000122'","'White wine is a wine whose color can be straw-yellow, yellow-green, or yellow-gold. It is produced by the alcoholic fermentation of the non-coloured pulp of grapes, which may have a skin of any colour.'",,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'white wine'",
http://purl.obolibrary.org/obo/FOODON_03310290,Class,http://purl.obolibrary.org/obo/FOODON_03315513,,,,,,,,,,,"'FOBI:07570'","'http://purl.obolibrary.org/obo/IAO_0000428'",,,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'kefir'",
http://purl.obolibrary.org/obo/FOODON_03310351,Class,http://purl.obolibrary.org/obo/FOBI_0018,,,,,,,,,,,"'FOBI:0013'","'http://purl.obolibrary.org/obo/IAO_0000428'",,,,"'http://purl.obolibrary.org/obo/foodon.owl'",,"'butter'",
